navio_/_viagem.1,fim_operação,liberação_rfb,atraso_rfb
CMA CGM BERLIOZ,2024-02-01 00:57:00,2024-02-01 06:30:00,5.55
MAERSK LAMANAI,2024-02-01 22:18:00,2024-03-01 02:00:00,675.7
COSCO SHIPPING PENG BO,2024-03-01 12:59:00,2024-03-01 18:30:00,5.516666666666667
MSC AJACCIO,2024-04-01 00:53:00,2024-04-01 06:15:00,5.366666666666666
POSIDONIA BRAVO,2024-05-01 08:30:00,2024-05-01 13:17:00,4.783333333333333
MONTE TAMARO,2024-04-01 23:57:00,2024-05-01 06:30:00,702.55
LOGIN ENDURANCE,2024-05-01 21:17:00,2024-06-01 00:45:00,723.4666666666667
CARTAGENA EXPRESS,2024-06-01 05:35:00,2024-06-01 10:30:00,4.916666666666667
LYON II,2024-06-01 18:11:00,2024-06-01 22:30:00,4.316666666666666
STAR LUSTER,2024-07-01 23:59:00,2024-08-01 06:30:00,726.5166666666667
MSC DUBAI VII,2024-07-01 04:14:00,2024-07-01 09:00:00,4.766666666666667
FERNAO DE MAGALHAES,2024-07-01 23:31:00,2024-08-01 02:45:00,723.2333333333333
MAERSK LOTA,2024-09-01 12:05:00,2024-09-01 16:00:00,3.9166666666666665
MSC PETRA,2024-10-01 14:23:00,2024-10-01 19:00:00,4.616666666666666
SWANSEA,2024-11-01 18:01:00,2024-11-01 21:45:00,3.7333333333333334
MONTE VERDE,2024-11-01 22:25:00,2024-12-01 02:00:00,699.5833333333334
TIAN SHOU,2024-01-02 11:55:00,2024-01-02 18:00:00,6.083333333333333
TOURLIANI,2024-04-02 10:30:00,2024-04-02 15:45:00,5.25
MAERSK MONTE AZUL,2024-01-02 22:21:00,2024-02-02 03:00:00,724.65
LOGIN ENDURANCE,2024-02-02 15:50:00,2024-02-02 22:30:00,6.666666666666667
MSC ANSHIKA VI,2024-03-02 06:16:00,2024-03-02 09:45:00,3.4833333333333334
CAPE AKRITAS,2024-03-02 17:11:00,2024-03-02 23:18:00,6.116666666666666
MAERSK JALAN,2024-04-02 00:07:00,2024-04-02 04:00:00,3.8833333333333333
CORCOVADO,2024-04-02 08:07:00,2024-04-02 12:30:00,4.383333333333334
PRINCESSE OUI,2024-09-02 22:32:00,2024-10-02 06:15:00,703.7166666666667
GREEN SANTOS,2024-06-02 10:19:00,2024-06-02 17:30:00,7.183333333333334
CARDIFF,2024-06-02 21:44:00,2024-07-02 01:00:00,699.2666666666667
VICENTE PINZON,2024-07-02 17:11:00,2024-07-02 20:45:00,3.566666666666667
POSIDONIA BRAVO,2024-08-02 03:15:00,2024-08-02 08:30:00,5.25
CMA CGM AMAZON,2024-08-02 16:26:00,2024-08-02 21:00:00,4.566666666666666
AMERICO VESPUCIO,2024-09-02 19:52:00,2024-10-02 00:00:00,700.1333333333333
MAERSK MONTE LINZOR,2024-08-02 23:54:00,2024-09-02 03:30:00,723.6
MSC BELMONTE III,2024-10-02 08:56:00,2024-10-02 12:45:00,3.816666666666667
MSC MAXINE,2024-10-02 17:59:00,2024-10-02 22:00:00,4.016666666666667
LOGIN DISCOVERY,2024-10-02 22:25:00,2024-11-02 02:15:00,723.8333333333334
COSCO SHIPPING CHANG QING,2024-11-02 16:28:00,2024-11-02 20:45:00,4.283333333333333
VICENTE PINZON,2024-02-03 00:32:00,2024-02-03 04:00:00,3.466666666666667
MONTE VERDE,2024-01-03 00:38:00,2024-01-03 04:00:00,3.3666666666666667
LOGIN ENDURANCE,2024-03-03 01:17:00,2024-03-03 06:30:00,5.216666666666667
FERNAO DE MAGALHAES,2024-03-03 11:47:00,2024-03-03 15:45:00,3.966666666666667
STAR MAIA,2024-04-03 21:10:00,2024-05-03 06:30:00,705.3333333333334
MSC ADONIS,2024-03-03 20:23:00,2024-04-03 00:00:00,723.6166666666667
MAERSK JALAN,2024-04-03 00:57:00,2024-04-03 06:30:00,5.55
PARIS II,2024-04-03 19:15:00,2024-04-03 22:45:00,3.5
HANS SCHULTE,2024-05-03 09:48:00,2024-05-03 13:18:00,3.5
MSC CHLOE,2024-05-03 21:11:00,2024-06-03 00:45:00,723.5666666666667
MAERSK LAMANAI,2024-06-03 19:37:00,2024-07-03 00:17:00,700.6666666666666
GREEN RIO GRANDE,2024-07-03 01:46:00,2024-07-03 10:00:00,8.233333333333333
AMERICO VESPUCIO,2024-07-03 20:15:00,2024-08-03 01:00:00,724.75
MEDITERRANEAN EXPRESS,2024-08-03 02:44:00,2024-08-03 07:01:00,4.283333333333333
MSC BELMONTE III,2024-09-03 06:18:00,2024-09-03 10:19:00,4.016666666666667
SORSI,2024-10-03 15:45:00,2024-10-03 22:00:00,6.25
COSCO SHIPPING JIN XIU,2024-10-03 01:40:00,2024-10-03 10:00:00,8.333333333333334
MSC ATHOS,2024-09-03 19:15:00,2024-09-03 23:00:00,3.75
CMA CGM BERLIOZ,2024-10-03 21:01:00,2024-11-03 02:45:00,725.7333333333333
MSC ILONA,2024-11-03 03:36:00,2024-11-03 07:30:00,3.9
GSL ARCADIA,2024-11-03 15:35:00,2024-11-03 20:45:00,5.166666666666667
LOGIN JACARANDA,2024-11-03 17:13:00,2024-11-03 21:45:00,4.533333333333333
MAERSK LEON,2024-12-03 14:34:00,2024-12-03 19:00:00,4.433333333333334
SYNTHESEA,2024-05-04 04:15:00,2024-05-04 15:30:00,11.25
MAERSK JALAN,2024-01-04 14:12:00,2024-01-04 18:00:00,3.8
MAERSK MONTE ALEGRE,2024-01-04 01:05:00,2024-01-04 06:30:00,5.416666666666667
BARTOLOMEU DIAS,2024-03-04 03:53:00,2024-03-04 09:30:00,5.616666666666666
CISNES,2024-03-04 16:27:00,2024-03-04 20:15:00,3.8
ARAMIS,2024-03-04 13:02:00,2024-03-04 17:45:00,4.716666666666667
MAERSK LOTA,2024-04-04 11:17:00,2024-04-04 14:45:00,3.466666666666667
AMERICO VESPUCIO,2024-05-04 10:34:00,2024-05-04 14:00:00,3.433333333333333
RDO FORTUNE,2024-05-04 08:35:00,2024-05-04 12:30:00,3.9166666666666665
APL TURKEY,2024-05-04 20:54:00,2024-06-04 01:17:00,724.3833333333333
MSC SOFIA CELESTE,2024-06-04 22:25:00,2024-07-04 02:30:00,700.0833333333334
LOGIN JACARANDA,2024-07-04 00:08:00,2024-07-04 03:30:00,3.3666666666666667
VICENTE PINZON,2024-08-04 10:45:00,2024-08-04 14:15:00,3.5
CARDIFF,2024-09-04 06:14:00,2024-09-04 09:45:00,3.5166666666666666
MSC BELMONTE III,2024-10-04 11:50:00,2024-10-04 15:16:00,3.433333333333333
PEDRO ALVARES CABRAL,2024-11-04 05:26:00,2024-11-04 09:00:00,3.566666666666667
MSC ANSHIKA VI,2024-12-04 05:26:00,2024-12-04 09:17:00,3.85
MSC MICHIGAN VII,2024-01-05 06:22:00,2024-01-05 10:00:00,3.6333333333333333
COSCO SHIPPING GRACE,2024-02-05 06:30:00,2024-02-05 10:15:00,3.75
AMERICO VESPUCIO,2024-02-05 11:32:00,2024-02-05 15:00:00,3.466666666666667
MONTE OLIVIA,2024-03-05 02:01:00,2024-03-05 06:30:00,4.483333333333333
JIA CHEN,2024-11-05 20:00:00,2024-12-05 01:15:00,701.25
MSC BELMONTE III,2024-05-05 09:13:00,2024-05-05 13:30:00,4.283333333333333
LOGIN JACARANDA,2024-05-05 13:20:00,2024-05-05 17:30:00,4.166666666666667
MSC ATHENS,2024-06-05 00:46:00,2024-06-05 06:15:00,5.483333333333333
MONTE SARMIENTO,2024-06-05 16:24:00,2024-06-05 19:45:00,3.35
TRAIGUEN,2024-08-05 05:46:00,2024-08-05 09:30:00,3.7333333333333334
PEDRO ALVARES CABRAL,2024-09-05 17:33:00,2024-09-05 21:15:00,3.7
CMA CGM SANTOS,2024-11-05 09:57:00,2024-11-05 13:30:00,3.55
POSIDONIA BRAVO,2024-11-05 16:25:00,2024-11-05 21:30:00,5.083333333333333
MSC MEDITERRANEAN,2024-12-05 06:35:00,2024-12-05 10:30:00,3.9166666666666665
MAERSK MONTE AZUL,2024-11-05 18:21:00,2024-11-05 21:45:00,3.4
MSC BARCELONA,2024-12-05 12:01:00,2024-12-05 15:30:00,3.4833333333333334
MSC BELMONTE III,2024-01-06 09:51:00,2024-01-06 14:00:00,4.15
MSC ALTAMIRA,2024-02-06 08:38:00,2024-02-06 13:45:00,5.116666666666666
BARTOLOMEU DIAS,2024-03-06 17:03:00,2024-03-06 20:30:00,3.45
MSC CASSANDRE,2024-04-06 11:46:00,2024-04-06 16:15:00,4.483333333333333
LOGIN JACARANDA,2024-04-06 13:59:00,2024-04-06 17:45:00,3.7666666666666666
CARDIFF,2024-05-06 02:08:00,2024-05-06 06:30:00,4.366666666666666
PEDRO ALVARES CABRAL,2024-06-06 07:32:00,2024-06-06 11:30:00,3.966666666666667
GREEN RAUMA,2024-06-06 18:17:00,2024-06-06 21:45:00,3.466666666666667
CMA CGM SANTOS,2024-08-06 02:18:00,2024-08-06 10:30:00,8.2
CMA CGM MERCANTOUR,2024-11-06 09:12:00,2024-11-06 13:30:00,4.3
MSC PEGASUS VII,2024-12-06 01:01:00,2024-12-06 08:30:00,7.483333333333333
MSC CLEA,2024-01-07 10:48:00,2024-01-07 15:00:00,4.2
LOGIN JACARANDA,2024-01-07 19:42:00,2024-01-07 23:17:00,3.5833333333333335
CMA CGM COLUMBIA,2024-04-07 08:50:00,2024-04-07 12:45:00,3.9166666666666665
