navio_/_viagem.1,início_operação,fim_operação,tempo_porto
CMA CGM BERLIOZ,2024-01-01 16:54:00,2024-02-01 00:57:00,728.05
COSCO SHIPPING PENG BO,2024-02-01 23:57:00,2024-03-01 12:59:00,685.0333333333333
MSC AJACCIO,2024-03-01 19:24:00,2024-04-01 00:53:00,725.4833333333333
POSIDONIA BRAVO,2024-04-01 13:00:00,2024-05-01 08:30:00,715.5
CARTAGENA EXPRESS,2024-05-01 15:26:00,2024-06-01 05:35:00,734.15
STAR LUSTER,2024-06-01 17:00:00,2024-07-01 23:59:00,726.9833333333333
MSC DUBAI VII,2024-06-01 23:30:00,2024-07-01 04:14:00,700.7333333333333
MAERSK LOTA,2024-08-01 20:36:00,2024-09-01 12:05:00,735.4833333333333
MSC ANSHIKA VI,2024-02-02 20:27:00,2024-03-02 06:16:00,681.8166666666667
MAERSK JALAN,2024-03-02 17:49:00,2024-04-02 00:07:00,726.3
PRINCESSE OUI,2024-03-02 16:00:00,2024-09-02 22:32:00,4422.533333333334
VICENTE PINZON,2024-06-02 22:17:00,2024-07-02 17:11:00,714.9
POSIDONIA BRAVO,2024-07-02 09:58:00,2024-08-02 03:15:00,737.2833333333333
CMA CGM AMAZON,2024-07-02 22:01:00,2024-08-02 16:26:00,738.4166666666666
AMERICO VESPUCIO,2024-08-02 17:39:00,2024-09-02 19:52:00,746.2166666666667
MSC BELMONTE III,2024-09-02 17:34:00,2024-10-02 08:56:00,711.3666666666667
LOGIN ENDURANCE,2024-01-03 22:12:00,2024-03-03 01:17:00,1419.0833333333333
FERNAO DE MAGALHAES,2024-02-03 05:01:00,2024-03-03 11:47:00,702.7666666666667
STAR MAIA,2024-02-03 23:15:00,2024-04-03 21:10:00,1437.9166666666667
MAERSK JALAN,2024-03-03 20:28:00,2024-04-03 00:57:00,724.4833333333333
MAERSK LAMANAI,2024-05-03 23:24:00,2024-06-03 19:37:00,740.2166666666667
GREEN RIO GRANDE,2024-06-03 21:08:00,2024-07-03 01:46:00,700.6333333333333
MEDITERRANEAN EXPRESS,2024-07-03 21:20:00,2024-08-03 02:44:00,725.4
MSC BELMONTE III,2024-08-03 12:50:00,2024-09-03 06:18:00,737.4666666666667
SORSI,2024-09-03 13:46:00,2024-10-03 15:45:00,721.9833333333333
COSCO SHIPPING JIN XIU,2024-09-03 04:15:00,2024-10-03 01:40:00,717.4166666666666
MSC ILONA,2024-10-03 20:31:00,2024-11-03 03:36:00,727.0833333333334
MAERSK LEON,2024-11-03 22:14:00,2024-12-03 14:34:00,712.3333333333334
BARTOLOMEU DIAS,2024-01-04 07:55:00,2024-03-04 03:53:00,1435.9666666666667
